match_id,home_team_id,away_team_id,match_date,stadium,home_score,away_score,status
12436872,42,3,2024-08-17 15:00:00,Emirates Stadium,2.0,0.0,Completed
12436886,40,42,2024-08-24 17:30:00,Villa Park,0.0,2.0,Completed
12436906,42,30,2024-08-31 12:30:00,Emirates Stadium,1.0,1.0,Completed
12436951,33,42,2024-09-15 14:00:00,Tottenham Hotspur Stadium,0.0,1.0,Completed
12436971,17,42,2024-09-22 16:30:00,Etihad Stadium,2.0,2.0,Completed
12436985,42,31,2024-09-28 15:00:00,Emirates Stadium,4.0,2.0,Completed
12437004,42,45,2024-10-05 15:00:00,Emirates Stadium,3.0,1.0,Completed
12436881,31,33,2024-08-19 20:00:00,King Power Stadium,1.0,1.0,Completed
12436894,43,31,2024-08-24 15:00:00,Craven Cottage,2.0,1.0,Completed
12436918,31,40,2024-08-31 15:00:00,King Power Stadium,1.0,2.0,Completed
12436938,7,31,2024-09-14 15:00:00,Selhurst Park,2.0,2.0,Completed
12436967,31,48,2024-09-21 15:00:00,King Power Stadium,1.0,1.0,Completed
12437020,31,60,2024-10-05 15:00:00,King Power Stadium,1.0,0.0,Completed
12436873,48,30,2024-08-17 15:00:00,Goodison Park,0.0,3.0,Completed
12436888,30,35,2024-08-24 12:30:00,Amex Stadium,2.0,1.0,Completed
12436936,30,32,2024-09-14 15:00:00,Amex Stadium,0.0,0.0,Completed
12436959,30,14,2024-09-22 14:00:00,Amex Stadium,2.0,2.0,Completed
12436989,38,30,2024-09-28 15:00:00,Stamford Bridge,4.0,2.0,Completed
12437011,30,33,2024-10-06 16:30:00,Amex Stadium,3.0,2.0,Completed
12436879,50,7,2024-08-18 14:00:00,Gtech Community Stadium,2.0,1.0,Completed
12436896,44,50,2024-08-25 16:30:00,Anfield,2.0,0.0,Completed
12436908,50,45,2024-08-31 15:00:00,Gtech Community Stadium,3.0,1.0,Completed
12436946,17,50,2024-09-14 15:00:00,Etihad Stadium,2.0,1.0,Completed
12436977,33,50,2024-09-21 15:00:00,Tottenham Hotspur Stadium,3.0,1.0,Completed
12436987,50,37,2024-09-28 15:00:00,Gtech Community Stadium,1.0,1.0,Completed
12437008,50,3,2024-10-05 15:00:00,Gtech Community Stadium,5.0,3.0,Completed
12436875,14,60,2024-08-17 15:00:00,City Ground,1.0,1.0,Completed
12436884,60,39,2024-08-25 14:00:00,Vitality Stadium,1.0,1.0,Completed
12436912,48,60,2024-08-31 15:00:00,Goodison Park,2.0,3.0,Completed
12436931,60,38,2024-09-14 20:00:00,Vitality Stadium,0.0,1.0,Completed
12436969,44,60,2024-09-21 15:00:00,Anfield,3.0,0.0,Completed
12436982,60,45,2024-09-30 20:00:00,Vitality Stadium,3.0,1.0,Completed
12436877,37,40,2024-08-17 17:30:00,London Stadium,1.0,2.0,Completed
12436933,40,48,2024-09-14 17:30:00,Villa Park,3.0,2.0,Completed
12436957,40,3,2024-09-21 15:00:00,Villa Park,3.0,1.0,Completed
12436993,32,40,2024-09-29 14:00:00,Portman Road,2.0,2.0,Completed
12437006,40,35,2024-10-06 14:00:00,Villa Park,0.0,0.0,Completed
12436900,45,14,2024-08-24 15:00:00,St Mary's Stadium,0.0,1.0,Completed
12436926,14,3,2024-08-31 15:00:00,City Ground,1.0,1.0,Completed
12436944,44,14,2024-09-14 15:00:00,Anfield,0.0,1.0,Completed
12437001,14,43,2024-09-28 15:00:00,City Ground,0.0,1.0,Completed
12437013,38,14,2024-10-06 14:00:00,Stamford Bridge,1.0,1.0,Completed
12436904,3,38,2024-08-25 14:00:00,Molineux Stadium,2.0,6.0,Completed
12436954,3,39,2024-09-15 16:30:00,Molineux Stadium,1.0,2.0,Completed
12437002,3,44,2024-09-28 17:30:00,Molineux Stadium,1.0,2.0,Completed
12436870,35,43,2024-08-16 20:00:00,Old Trafford,1.0,0.0,Completed
12436915,32,43,2024-08-31 15:00:00,Portman Road,1.0,1.0,Completed
12436941,43,37,2024-09-14 15:00:00,Craven Cottage,1.0,1.0,Completed
12436964,43,39,2024-09-21 15:00:00,Craven Cottage,3.0,1.0,Completed
12437022,17,43,2024-10-05 15:00:00,Etihad Stadium,3.0,2.0,Completed
12436880,38,17,2024-08-18 16:30:00,Stamford Bridge,0.0,2.0,Completed
12436898,17,32,2024-08-24 15:00:00,Etihad Stadium,4.0,1.0,Completed
12436927,37,17,2024-08-31 17:30:00,London Stadium,1.0,3.0,Completed
12436999,39,17,2024-09-28 12:30:00,St James' Park,1.0,1.0,Completed
12436892,7,37,2024-08-24 15:00:00,Selhurst Park,0.0,2.0,Completed
12436980,37,38,2024-09-21 12:30:00,London Stadium,0.0,3.0,Completed
12437024,37,32,2024-10-05 15:00:00,London Stadium,4.0,1.0,Completed
12436871,32,44,2024-08-17 12:30:00,Portman Road,0.0,2.0,Completed
12436973,45,32,2024-09-21 15:00:00,St Mary's Stadium,1.0,1.0,Completed
12436902,33,48,2024-08-24 15:00:00,Tottenham Hotspur Stadium,4.0,0.0,Completed
12436923,39,33,2024-09-01 13:30:00,St James' Park,2.0,1.0,Completed
12436995,35,33,2024-09-29 16:30:00,Old Trafford,0.0,3.0,Completed
12436910,38,7,2024-09-01 13:30:00,Stamford Bridge,1.0,1.0,Completed
12436962,7,35,2024-09-21 17:30:00,Selhurst Park,0.0,0.0,Completed
12436992,48,7,2024-09-28 15:00:00,Goodison Park,2.0,1.0,Completed
12437015,7,44,2024-10-05 12:30:00,Selhurst Park,0.0,1.0,Completed
12436920,35,44,2024-09-01 16:00:00,Old Trafford,0.0,3.0,Completed
12436949,45,35,2024-09-14 12:30:00,St Mary's Stadium,0.0,3.0,Completed
12436874,39,45,2024-08-17 15:00:00,St James' Park,1.0,0.0,Completed
12437018,48,39,2024-10-05 17:30:00,Goodison Park,0.0,0.0,Completed
12437026,60,42,2024-10-19 17:30:00,Vitality Stadium,2.0,0.0,Completed
12437037,45,31,2024-10-19 15:00:00,St Mary's Stadium,2.0,3.0,Completed
12437035,39,30,2024-10-19 15:00:00,St James' Park,0.0,1.0,Completed
12437034,35,50,2024-10-19 15:00:00,Old Trafford,2.0,1.0,Completed
12437028,43,40,2024-10-19 15:00:00,Craven Cottage,1.0,3.0,Completed
12437036,14,7,2024-10-21 20:00:00,City Ground,1.0,0.0,Completed
